Date,Page,Clicks,Impressions,CTR,Position
2025-12-01,https://example.com/seo-audit-checklist,40,837,0.0478,16.00
2025-12-01,https://example.com/technical-seo-guide,32,776,0.0412,20.00
2025-12-01,https://example.com/content-cluster-strategy,28,727,0.0385,18.00
2025-12-01,https://example.com/keyword-research-b2b,24,595,0.0403,24.00
2025-12-01,https://example.com/internal-linking-playbook,35,825,0.0424,19.00
2025-12-01,https://example.com/programmatic-seo-case-study,30,788,0.0381,22.00
2025-12-01,https://example.com/local-seo-template,20,484,0.0413,25.00
2025-12-01,https://example.com/site-speed-optimization,26,582,0.0447,28.00
2025-12-04,https://example.com/seo-audit-checklist,41,837,0.0490,16.00
2025-12-04,https://example.com/technical-seo-guide,33,776,0.0425,20.00
2025-12-04,https://example.com/content-cluster-strategy,29,727,0.0399,18.00
2025-12-04,https://example.com/keyword-research-b2b,25,595,0.0420,24.00
2025-12-04,https://example.com/internal-linking-playbook,36,825,0.0436,19.00
2025-12-04,https://example.com/programmatic-seo-case-study,31,788,0.0393,22.00
2025-12-04,https://example.com/local-seo-template,20,484,0.0413,25.00
2025-12-04,https://example.com/site-speed-optimization,27,582,0.0464,28.00
2025-12-07,https://example.com/seo-audit-checklist,42,837,0.0502,16.00
2025-12-07,https://example.com/technical-seo-guide,33,776,0.0425,20.00
2025-12-07,https://example.com/content-cluster-strategy,29,727,0.0399,18.00
2025-12-07,https://example.com/keyword-research-b2b,25,595,0.0420,24.00
2025-12-07,https://example.com/internal-linking-playbook,36,825,0.0436,19.00
2025-12-07,https://example.com/programmatic-seo-case-study,31,788,0.0393,22.00
2025-12-07,https://example.com/local-seo-template,21,484,0.0434,25.00
2025-12-07,https://example.com/site-speed-optimization,27,582,0.0464,28.00
2025-12-10,https://example.com/seo-audit-checklist,42,837,0.0502,16.00
2025-12-10,https://example.com/technical-seo-guide,34,776,0.0438,20.00
2025-12-10,https://example.com/content-cluster-strategy,29,727,0.0399,18.00
2025-12-10,https://example.com/keyword-research-b2b,25,595,0.0420,24.00
2025-12-10,https://example.com/internal-linking-playbook,37,825,0.0448,19.00
2025-12-10,https://example.com/programmatic-seo-case-study,32,788,0.0406,22.00
2025-12-10,https://example.com/local-seo-template,21,484,0.0434,25.00
2025-12-10,https://example.com/site-speed-optimization,27,582,0.0464,28.00
2025-12-13,https://example.com/seo-audit-checklist,42,837,0.0502,16.00
2025-12-13,https://example.com/technical-seo-guide,34,776,0.0438,20.00
2025-12-13,https://example.com/content-cluster-strategy,30,727,0.0413,18.00
2025-12-13,https://example.com/keyword-research-b2b,25,595,0.0420,24.00
2025-12-13,https://example.com/internal-linking-playbook,37,825,0.0448,19.00
2025-12-13,https://example.com/programmatic-seo-case-study,32,788,0.0406,22.00
2025-12-13,https://example.com/local-seo-template,21,484,0.0434,25.00
2025-12-13,https://example.com/site-speed-optimization,28,582,0.0481,28.00
2025-12-16,https://example.com/seo-audit-checklist,42,837,0.0502,16.00
2025-12-16,https://example.com/technical-seo-guide,34,776,0.0438,20.00
2025-12-16,https://example.com/content-cluster-strategy,30,727,0.0413,18.00
2025-12-16,https://example.com/keyword-research-b2b,25,595,0.0420,24.00
